2020-12-13 16:17:00,281 : INFO : Video Imported: C:\Users\Mahe\Documents\important\college\internships\genzellab\projects\hm_tracking\vids\stitched.mp4
2020-12-13 16:17:36,780 : INFO : Recording Trial 1
2020-12-13 16:17:36,850 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:36,951 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,052 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,164 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,275 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,386 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,486 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,587 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,676 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,785 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,871 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:37,980 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,091 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,204 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,242 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,345 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,456 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,567 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,678 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,790 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:38,899 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,001 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,093 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,193 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,302 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,426 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,537 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,658 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,760 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,860 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:39,990 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,214 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,325 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,426 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,545 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,638 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,749 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,860 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:40,961 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,082 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,194 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,308 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,406 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,507 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,617 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,729 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,839 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:41,951 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,052 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,163 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,274 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,395 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,506 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,617 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,739 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,850 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:42,959 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,072 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,183 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,304 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,435 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,546 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,665 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,778 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:43,899 : INFO : The rat position is: (140, 379) @ 420
2020-12-13 16:17:44,021 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,139 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,242 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,392 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,544 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,665 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,776 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:44,906 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,017 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,138 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,251 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,381 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,492 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,604 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,713 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,837 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:45,958 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,067 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,178 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,291 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,432 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,554 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,665 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,786 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:46,905 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,018 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,149 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,260 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,380 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,513 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,622 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,735 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,846 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:47,967 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,089 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,230 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,361 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,501 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,614 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,735 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,856 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:48,987 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,108 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,219 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,331 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,452 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,583 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,704 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,823 : INFO : The rat position is: (130, 382) @ 420
2020-12-13 16:17:49,939 : INFO : The rat position is: (130, 382) @ 420
